,Easting,Northing,1st Road Class,Number of Vehicles,Road Surface,Speed Limit,Lighting Conditions,Weather Conditions,dia_semana,semana_en_año,Type of Vehicle,Age of Vehicle,First Point of Impact,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,latitude,longitude,Accident Time Sin,Accident Time Cos
4014,2579282,2302242,0,1,1,100,1,1,2,48,4,2005,6,2,0,3,Assistance,-38.77825,145.9121,-0.8870108331782218,-0.4617486132350336
4041,2593424,2304909,0,2,1,100,1,1,7,47,1,1998,4,3,0,3,Slight,-38.75291,146.07443,0.3826834323650899,-0.9238795325112867
4042,2593424,2304909,0,2,1,100,1,1,7,47,1,1998,4,3,1,2,Assistance,-38.75291,146.07443,0.3826834323650899,-0.9238795325112867
4043,2593424,2304909,0,2,1,100,1,1,7,47,1,1998,4,2,0,2,Slight,-38.75291,146.07443,0.3826834323650899,-0.9238795325112867
5848,2385725,2306720,0,1,1,80,9,1,5,50,2,1995,4,2,0,2,Assistance,-38.73424,143.6861,-0.043619387365336194,0.9990482215818578
1094,2597673,2307270,0,1,2,100,5,1,5,33,1,1982,3,2,0,3,Assistance,-38.73121,146.12298,-0.953716950748227,0.3007057995042726
10073,2597094,2308814,0,1,2,100,1,7,7,50,1,1990,4,3,1,2,Slight,-38.71737,146.11611,-0.984807753012208,-0.17364817766693033
10074,2597094,2308814,0,1,2,100,1,7,7,50,1,1990,4,3,0,2,Assistance,-38.71737,146.11611,-0.984807753012208,-0.17364817766693033
10075,2597094,2308814,0,1,2,100,1,7,7,50,1,1990,4,2,1,2,Slight,-38.71737,146.11611,-0.984807753012208,-0.17364817766693033
3209,2594903,2309449,0,1,2,100,5,1,5,43,1,2000,4,3,1,3,Assistance,-38.71188,146.09083,-0.3420201433256686,0.9396926207859084
3210,2594903,2309449,0,1,2,100,5,1,5,43,1,2000,4,2,0,3,Assistance,-38.71188,146.09083,-0.3420201433256686,0.9396926207859084
7617,2387829,2310331,0,1,2,100,1,2,6,51,1,1999,4,2,1,2,Assistance,-38.70199,143.71085,0.6087614290087209,-0.793353340291235
7618,2387829,2310331,0,1,2,100,1,7,6,51,1,1999,4,2,1,2,Assistance,-38.70199,143.71085,0.6087614290087209,-0.793353340291235
4893,2575315,2311282,5,1,1,100,1,1,6,44,1,1994,4,2,1,4,Assistance,-38.69718,145.86551,-0.2588190451025208,-0.9659258262890683
3860,2594529,2311491,0,1,1,60,2,1,4,46,1,1998,6,2,1,3,Assistance,-38.69353,146.08628,0.984807753012208,-0.1736481776669303
991,2620586,2313630,2,2,1,100,1,1,3,33,9,1996,1,2,1,3,Assistance,-38.67122,146.38531,0.5735764363510459,-0.8191520442889919
992,2620586,2313630,2,2,1,100,1,1,3,33,7,1997,1,2,1,3,Assistance,-38.67122,146.38531,0.5735764363510459,-0.8191520442889919
993,2620586,2313630,2,2,1,100,1,1,3,33,9,1996,1,2,0,3,Assistance,-38.67122,146.38531,0.5735764363510459,-0.8191520442889919
994,2620586,2313630,2,2,1,100,1,1,3,33,7,1997,1,2,0,3,Assistance,-38.67122,146.38531,0.5735764363510459,-0.8191520442889919
4892,2401002,2314083,0,2,1,80,1,1,7,49,10,2005,8,4,0,3,Assistance,-38.66971,143.86274,0.258819045102521,-0.9659258262890682
2997,2619153,2314332,2,1,1,100,1,1,1,42,1,1987,4,2,1,2,Assistance,-38.66508,146.36873,-0.8191520442889916,-0.5735764363510464
1973,2557559,2314494,0,2,1,100,1,1,2,40,17,1992,1,2,0,3,Slight,-38.66954,145.66121,-0.6755902076156598,-0.7372773368101244
1974,2557559,2314494,0,2,1,100,1,1,2,40,10,1998,1,2,0,3,Slight,-38.66954,145.66121,-0.6755902076156598,-0.7372773368101244
1975,2557559,2314494,0,2,1,100,1,1,2,40,17,1992,1,4,0,2,Assistance,-38.66954,145.66121,-0.6755902076156598,-0.7372773368101244
1976,2557559,2314494,0,2,1,100,1,1,2,40,10,1998,1,4,0,2,Assistance,-38.66954,145.66121,-0.6755902076156598,-0.7372773368101244
1876,2608079,2316707,2,2,1,100,5,1,7,37,1,2000,3,3,1,3,Assistance,-38.64506,146.24118,-0.8660254037844386,0.5000000000000001
1877,2608079,2316707,2,2,1,100,5,1,7,37,10,1980,3,3,1,3,Assistance,-38.64506,146.24118,-0.8660254037844386,0.5000000000000001
1878,2608079,2316707,2,2,1,100,5,1,7,37,1,2000,3,2,0,3,Slight,-38.64506,146.24118,-0.8660254037844386,0.5000000000000001
1879,2608079,2316707,2,2,1,100,5,1,7,37,10,1980,3,2,0,3,Slight,-38.64506,146.24118,-0.8660254037844386,0.5000000000000001
1880,2608079,2316707,2,2,1,100,5,1,7,37,1,2000,3,4,0,3,Assistance,-38.64506,146.24118,-0.8660254037844386,0.5000000000000001
1881,2608079,2316707,2,2,1,100,5,1,7,37,10,1980,3,4,0,3,Assistance,-38.64506,146.24118,-0.8660254037844386,0.5000000000000001
1980,2602908,2317076,0,1,1,100,1,1,5,39,2,1996,4,2,0,3,Assistance,-38.64233,146.18175,-0.4226182617406989,-0.9063077870366503
8735,2371760,2317962,0,2,1,100,1,1,2,52,1,1998,1,3,0,4,Slight,-38.63117,143.52756,-0.04361938736533583,-0.9990482215818578
8736,2371760,2317962,0,2,1,100,1,1,2,52,1,1990,1,3,0,4,Slight,-38.63117,143.52756,-0.04361938736533583,-0.9990482215818578
8737,2371760,2317962,0,2,1,100,1,1,2,52,1,1998,1,3,0,3,Slight,-38.63117,143.52756,-0.04361938736533583,-0.9990482215818578
8738,2371760,2317962,0,2,1,100,1,1,2,52,1,1990,1,3,0,3,Slight,-38.63117,143.52756,-0.04361938736533583,-0.9990482215818578
8739,2371760,2317962,0,2,1,100,1,1,2,52,1,1998,1,3,1,2,Assistance,-38.63117,143.52756,-0.04361938736533583,-0.9990482215818578
8740,2371760,2317962,0,2,1,100,1,1,2,52,1,1990,1,3,1,2,Assistance,-38.63117,143.52756,-0.04361938736533583,-0.9990482215818578
8741,2371760,2317962,0,2,1,100,1,1,2,52,1,1998,1,2,0,2,Slight,-38.63117,143.52756,-0.04361938736533583,-0.9990482215818578
8742,2371760,2317962,0,2,1,100,1,1,2,52,1,1990,1,2,0,2,Slight,-38.63117,143.52756,-0.04361938736533583,-0.9990482215818578
8743,2371760,2317962,0,2,1,100,1,1,2,52,1,1998,1,2,0,3,Assistance,-38.63117,143.52756,-0.04361938736533583,-0.9990482215818578
8744,2371760,2317962,0,2,1,100,1,1,2,52,1,1990,1,2,0,3,Assistance,-38.63117,143.52756,-0.04361938736533583,-0.9990482215818578
810,2552518,2318322,0,1,2,100,1,2,3,32,2,2004,4,2,1,3,Assistance,-38.63536,145.60303,-0.38268343236508967,-0.9238795325112868
7953,2340352,2318641,0,1,2,100,1,1,6,50,8,1990,6,3,0,3,Assistance,-38.62015,143.16716,-0.34202014332566866,-0.9396926207859084
7954,2340352,2318641,0,1,2,100,1,7,6,50,8,1990,6,3,0,3,Assistance,-38.62015,143.16716,-0.34202014332566866,-0.9396926207859084
7955,2340352,2318641,0,1,2,100,1,1,6,50,8,1990,6,3,1,2,Assistance,-38.62015,143.16716,-0.34202014332566866,-0.9396926207859084
7956,2340352,2318641,0,1,2,100,1,7,6,50,8,1990,6,3,1,2,Assistance,-38.62015,143.16716,-0.34202014332566866,-0.9396926207859084
7957,2340352,2318641,0,1,2,100,1,1,6,50,8,1990,6,3,1,3,Assistance,-38.62015,143.16716,-0.34202014332566866,-0.9396926207859084
7958,2340352,2318641,0,1,2,100,1,7,6,50,8,1990,6,3,1,3,Assistance,-38.62015,143.16716,-0.34202014332566866,-0.9396926207859084
7959,2340352,2318641,0,1,2,100,1,1,6,50,8,1990,6,3,0,2,Assistance,-38.62015,143.16716,-0.34202014332566866,-0.9396926207859084
7960,2340352,2318641,0,1,2,100,1,7,6,50,8,1990,6,3,0,2,Assistance,-38.62015,143.16716,-0.34202014332566866,-0.9396926207859084
7961,2340352,2318641,0,1,2,100,1,1,6,50,8,1990,6,2,0,4,Assistance,-38.62015,143.16716,-0.34202014332566866,-0.9396926207859084
7962,2340352,2318641,0,1,2,100,1,7,6,50,8,1990,6,2,0,4,Assistance,-38.62015,143.16716,-0.34202014332566866,-0.9396926207859084
1978,2561814,2319432,2,1,1,100,2,1,7,39,1,2005,4,2,1,3,Assistance,-38.62479,145.70968,0.9914448613738104,0.1305261922200517
10382,2329186,2320395,0,1,1,100,1,1,4,52,17,2004,6,2,0,3,Assistance,-38.60235,143.03942,-0.8660254037844384,-0.5000000000000004
5912,2551946,2320849,10,1,1,50,1,1,3,50,1,1982,2,1,0,1,Assistance,-38.61264,145.59628,-0.46174861323503374,-0.8870108331782218
5913,2551946,2320849,10,1,1,50,1,1,3,50,1,1982,2,2,0,3,Slight,-38.61264,145.59628,-0.46174861323503374,-0.8870108331782218
3702,2552894,2321412,2,2,1,60,1,1,1,47,1,2003,1,2,0,3,Slight,-38.60751,145.60712,-0.5000000000000001,-0.8660254037844386
3703,2552894,2321412,2,2,1,60,1,1,1,47,1,2003,1,6,0,4,Assistance,-38.60751,145.60712,-0.5000000000000001,-0.8660254037844386
2157,2566921,2321695,0,1,1,100,5,1,7,39,1,2004,4,2,1,3,Assistance,-38.60405,145.76809,-0.5735764363510457,0.819152044288992
2101,2552488,2322184,0,1,2,100,1,1,1,39,5,1990,4,2,0,2,Assistance,-38.60059,145.6024,0.49999999999999994,-0.8660254037844387
2360,2642817,2323435,0,1,1,100,5,1,5,39,1,2000,6,3,1,1,Assistance,-38.57974,146.63871,-0.7071067811865477,0.7071067811865474
2361,2642817,2323435,0,1,1,100,5,1,5,39,1,2000,6,2,1,2,Assistance,-38.57974,146.63871,-0.7071067811865477,0.7071067811865474
3922,2550209,2324023,0,1,1,70,2,1,1,48,1,1991,4,2,0,3,Assistance,-38.58415,145.57612,1.0,-1.6081226496766364e-16
8915,2613393,2324116,0,1,1,100,1,1,5,52,10,2003,3,4,0,3,Assistance,-38.5777,146.30104,-0.9659258262890681,-0.2588190451025215
2388,2592609,2324428,0,2,1,100,1,1,7,38,1,1980,1,2,0,2,Assistance,-38.57721,146.06255,0.49999999999999994,-0.8660254037844387
2389,2592609,2324428,0,2,1,100,1,1,7,38,2,1988,1,2,0,2,Assistance,-38.57721,146.06255,0.49999999999999994,-0.8660254037844387
2390,2592609,2324428,0,2,1,100,1,1,7,38,1,1980,1,2,0,3,Slight,-38.57721,146.06255,0.49999999999999994,-0.8660254037844387
2391,2592609,2324428,0,2,1,100,1,1,7,38,2,1988,1,2,0,3,Slight,-38.57721,146.06255,0.49999999999999994,-0.8660254037844387
575,2585499,2324568,2,1,1,100,1,1,5,30,1,1989,4,3,1,2,Assistance,-38.57664,145.98097,-0.7660444431189779,-0.6427876096865395
576,2585499,2324568,2,1,1,100,1,1,5,30,1,1989,4,3,1,1,Assistance,-38.57664,145.98097,-0.7660444431189779,-0.6427876096865395
577,2585499,2324568,2,1,1,100,1,1,5,30,1,1989,4,3,0,1,Slight,-38.57664,145.98097,-0.7660444431189779,-0.6427876096865395
578,2585499,2324568,2,1,1,100,1,1,5,30,1,1989,4,2,0,2,Slight,-38.57664,145.98097,-0.7660444431189779,-0.6427876096865395
6392,2562597,2325012,0,1,1,100,2,1,4,52,1,1989,3,2,0,2,Assistance,-38.57448,145.71817,0.984807753012208,0.17364817766693041
673,2645988,2325134,1,1,1,50,1,1,1,31,2,2003,2,1,0,3,Assistance,-38.56394,146.67475,-0.9537169507482269,-0.30070579950427295
674,2645988,2325134,1,1,1,50,1,1,1,31,2,2003,2,2,0,3,Slight,-38.56394,146.67475,-0.9537169507482269,-0.30070579950427295
673,2645988,2325134,1,1,1,50,1,1,1,31,2,2003,2,1,0,3,Assistance,-38.56394,146.67475,-0.9537169507482269,-0.30070579950427295
674,2645988,2325134,1,1,1,50,1,1,1,31,2,2003,2,2,0,3,Slight,-38.56394,146.67475,-0.9537169507482269,-0.30070579950427295
1357,2560741,2326028,0,1,1,100,1,1,1,35,1,2001,4,2,1,3,Assistance,-38.56546,145.6968,0.49999999999999994,-0.8660254037844387
5362,2649348,2326840,2,2,1,100,1,1,3,49,1,1996,1,2,1,3,Assistance,-38.54804,146.71294,-0.46174861323503374,-0.8870108331782218
5363,2649348,2326840,2,2,1,100,1,1,3,49,17,1994,1,2,1,3,Assistance,-38.54804,146.71294,-0.46174861323503374,-0.8870108331782218
5364,2649348,2326840,2,2,1,100,1,1,3,49,1,1996,1,2,0,3,Slight,-38.54804,146.71294,-0.46174861323503374,-0.8870108331782218
5365,2649348,2326840,2,2,1,100,1,1,3,49,17,1994,1,2,0,3,Slight,-38.54804,146.71294,-0.46174861323503374,-0.8870108331782218
3869,2555802,2327287,0,2,1,100,1,1,5,47,1,2005,1,2,1,3,Assistance,-38.55443,145.64004,-0.7660444431189779,-0.6427876096865395
3870,2555802,2327287,0,2,1,100,1,1,5,47,2,1999,1,2,1,3,Assistance,-38.55443,145.64004,-0.7660444431189779,-0.6427876096865395
3871,2555802,2327287,0,2,1,100,1,1,5,47,1,2005,1,2,0,3,Assistance,-38.55443,145.64004,-0.7660444431189779,-0.6427876096865395
3872,2555802,2327287,0,2,1,100,1,1,5,47,2,1999,1,2,0,3,Assistance,-38.55443,145.64004,-0.7660444431189779,-0.6427876096865395
3865,2550490,2327399,0,2,1,100,1,1,5,47,1,1999,1,3,0,3,Assistance,-38.55373,145.57911,-0.8660254037844384,-0.5000000000000004
3866,2550490,2327399,0,2,1,100,1,1,5,47,2,1990,1,3,0,3,Assistance,-38.55373,145.57911,-0.8660254037844384,-0.5000000000000004
3867,2550490,2327399,0,2,1,100,1,1,5,47,1,1999,1,2,0,3,Slight,-38.55373,145.57911,-0.8660254037844384,-0.5000000000000004
3868,2550490,2327399,0,2,1,100,1,1,5,47,2,1990,1,2,0,3,Slight,-38.55373,145.57911,-0.8660254037844384,-0.5000000000000004
8717,2550354,2328403,0,1,1,100,1,1,6,52,1,2005,4,3,1,3,Assistance,-38.54469,145.57749,-0.5372996083468239,-0.8433914458128856
8718,2550354,2328403,0,1,1,100,1,1,6,52,1,2005,4,3,1,1,Assistance,-38.54469,145.57749,-0.5372996083468239,-0.8433914458128856
8719,2550354,2328403,0,1,1,100,1,1,6,52,1,2005,4,2,0,3,Assistance,-38.54469,145.57749,-0.5372996083468239,-0.8433914458128856
9078,2550353,2328411,0,1,2,100,5,2,5,51,5,2002,6,2,0,3,Assistance,-38.54462,145.57746,-0.5372996083468242,0.8433914458128855
1638,2647871,2328645,0,1,2,100,2,1,3,35,1,1996,3,2,1,2,Assistance,-38.53203,146.69563,0.9537169507482269,-0.30070579950427295
3934,2550930,2328798,0,1,1,100,1,1,1,48,1,1981,6,2,1,2,Assistance,-38.5411,145.58406,-0.9762960071199334,-0.21643961393810282
36,2640582,2329748,0,1,1,999,1,1,6,28,17,2001,8,2,0,3,Assistance,-38.52324,146.61185,0.49999999999999994,-0.8660254037844387
1712,2539186,2329952,2,1,2,100,1,2,6,36,2,1993,6,2,0,3,Assistance,-38.53128,145.44932,-0.5735764363510458,-0.819152044288992
1339,2644867,2330016,0,2,9,100,9,9,7,33,1,1998,1,3,0,2,Slight,-38.52016,146.66092,0.08715574274765864,-0.9961946980917455
1340,2644867,2330016,0,2,9,100,9,9,7,33,1,2001,1,3,0,2,Slight,-38.52016,146.66092,0.08715574274765864,-0.9961946980917455
1341,2644867,2330016,0,2,9,100,9,9,7,33,1,1998,1,2,0,2,Slight,-38.52016,146.66092,0.08715574274765864,-0.9961946980917455
1342,2644867,2330016,0,2,9,100,9,9,7,33,1,2001,1,2,0,2,Slight,-38.52016,146.66092,0.08715574274765864,-0.9961946980917455
1343,2644867,2330016,0,2,9,100,9,9,7,33,1,1998,1,2,1,4,Assistance,-38.52016,146.66092,0.08715574274765864,-0.9961946980917455
1344,2644867,2330016,0,2,9,100,9,9,7,33,1,2001,1,2,1,4,Assistance,-38.52016,146.66092,0.08715574274765864,-0.9961946980917455
4139,2538979,2330535,2,1,2,60,1,2,5,48,1,1996,4,3,1,3,Assistance,-38.52605,145.44692,-0.46174861323503374,-0.8870108331782218
4140,2538979,2330535,2,1,2,60,1,2,5,48,1,1996,4,2,1,3,Slight,-38.52605,145.44692,-0.46174861323503374,-0.8870108331782218
3091,2537111,2330872,0,2,1,100,1,1,6,41,1,2000,1,4,0,3,Assistance,-38.52308,145.42548,-0.7660444431189779,-0.6427876096865395
3092,2537111,2330872,0,2,1,100,1,1,6,41,1,2000,1,2,0,3,Slight,-38.52308,145.42548,-0.7660444431189779,-0.6427876096865395
1783,2532459,2331188,0,2,1,60,1,1,3,36,17,1992,1,2,0,3,Slight,-38.52042,145.37214,-0.6755902076156598,-0.7372773368101244
1784,2532459,2331188,0,2,1,60,1,1,3,36,10,1990,1,2,0,3,Slight,-38.52042,145.37214,-0.6755902076156598,-0.7372773368101244
1785,2532459,2331188,0,2,1,60,1,1,3,36,17,1992,1,4,0,3,Assistance,-38.52042,145.37214,-0.6755902076156598,-0.7372773368101244
1786,2532459,2331188,0,2,1,60,1,1,3,36,10,1990,1,4,0,3,Assistance,-38.52042,145.37214,-0.6755902076156598,-0.7372773368101244
2364,2557809,2331405,0,1,1,100,1,1,6,41,10,2002,4,5,1,2,Assistance,-38.51722,145.66273,-0.6755902076156598,-0.7372773368101244
2365,2557809,2331405,0,1,1,100,1,1,6,41,10,2002,4,4,0,3,Assistance,-38.51722,145.66273,-0.6755902076156598,-0.7372773368101244
3090,2593759,2331533,0,1,1,100,1,1,6,41,6,2004,4,2,0,3,Assistance,-38.51311,146.07483,0.7933533402912354,-0.6087614290087203
840,2592865,2331716,0,1,1,100,5,1,4,31,1,2003,4,2,1,3,Assistance,-38.51156,146.06455,-0.9990482215818578,0.043619387365335764
2362,2639792,2331899,11,1,1,888,1,1,7,41,2,1984,6,2,1,3,Assistance,-38.50399,146.60238,-0.46174861323503374,-0.8870108331782218
2630,2526252,2332090,0,2,1,100,1,1,6,41,1,2001,1,3,1,1,Slight,-38.51249,145.30094,-0.08715574274765794,-0.9961946980917455
2631,2526252,2332090,0,2,1,100,1,1,6,41,2,1998,1,3,1,1,Slight,-38.51249,145.30094,-0.08715574274765794,-0.9961946980917455
2632,2526252,2332090,0,2,1,100,1,1,6,41,1,2001,1,3,0,2,Slight,-38.51249,145.30094,-0.08715574274765794,-0.9961946980917455
2633,2526252,2332090,0,2,1,100,1,1,6,41,2,1998,1,3,0,2,Slight,-38.51249,145.30094,-0.08715574274765794,-0.9961946980917455
2634,2526252,2332090,0,2,1,100,1,1,6,41,1,2001,1,3,1,2,Slight,-38.51249,145.30094,-0.08715574274765794,-0.9961946980917455
2635,2526252,2332090,0,2,1,100,1,1,6,41,2,1998,1,3,1,2,Slight,-38.51249,145.30094,-0.08715574274765794,-0.9961946980917455
2636,2526252,2332090,0,2,1,100,1,1,6,41,1,2001,1,2,1,3,Assistance,-38.51249,145.30094,-0.08715574274765794,-0.9961946980917455
2637,2526252,2332090,0,2,1,100,1,1,6,41,2,1998,1,2,1,3,Assistance,-38.51249,145.30094,-0.08715574274765794,-0.9961946980917455
2638,2526252,2332090,0,2,1,100,1,1,6,41,1,2001,1,2,0,2,Slight,-38.51249,145.30094,-0.08715574274765794,-0.9961946980917455
2639,2526252,2332090,0,2,1,100,1,1,6,41,2,1998,1,2,0,2,Slight,-38.51249,145.30094,-0.08715574274765794,-0.9961946980917455
1167,2552947,2332472,0,1,2,100,2,1,2,34,1,1990,4,3,1,1,Assistance,-38.5079,145.60692,-0.9659258262890681,-0.2588190451025215
1168,2552947,2332472,0,1,2,100,2,1,2,34,1,1990,4,2,1,2,Assistance,-38.5079,145.60692,-0.9659258262890681,-0.2588190451025215
10119,2583490,2332792,0,1,1,100,1,1,6,49,1,1995,4,2,1,2,Assistance,-38.50276,145.95697,-0.9914448613738105,0.13052619222005127
9866,2322566,2333563,1,2,2,100,1,1,6,50,1,1991,1,3,1,2,Slight,-38.48253,142.96669,-0.6087614290087207,-0.7933533402912352
9867,2322566,2333563,1,2,2,100,1,1,6,50,2,2005,1,3,1,2,Slight,-38.48253,142.96669,-0.6087614290087207,-0.7933533402912352
9868,2322566,2333563,1,2,2,100,1,1,6,50,1,1991,1,3,0,2,Slight,-38.48253,142.96669,-0.6087614290087207,-0.7933533402912352
9869,2322566,2333563,1,2,2,100,1,1,6,50,2,2005,1,3,0,2,Slight,-38.48253,142.96669,-0.6087614290087207,-0.7933533402912352
9870,2322566,2333563,1,2,2,100,1,1,6,50,1,1991,1,2,0,3,Slight,-38.48253,142.96669,-0.6087614290087207,-0.7933533402912352
9871,2322566,2333563,1,2,2,100,1,1,6,50,2,2005,1,2,0,3,Slight,-38.48253,142.96669,-0.6087614290087207,-0.7933533402912352
9872,2322566,2333563,1,2,2,100,1,1,6,50,1,1991,1,2,1,3,Assistance,-38.48253,142.96669,-0.6087614290087207,-0.7933533402912352
9873,2322566,2333563,1,2,2,100,1,1,6,50,2,2005,1,2,1,3,Assistance,-38.48253,142.96669,-0.6087614290087207,-0.7933533402912352
5454,2414901,2334823,0,2,2,80,1,2,4,49,5,2000,1,2,0,3,Assistance,-38.48432,144.02483,0.6087614290087209,-0.793353340291235
5455,2414901,2334823,0,2,2,80,1,2,4,49,7,1985,1,2,0,3,Assistance,-38.48432,144.02483,0.6087614290087209,-0.793353340291235
192,2518210,2335489,0,1,2,100,5,1,3,30,1,1988,4,3,1,3,Assistance,-38.48207,145.20866,0.4617486132350339,0.8870108331782217
193,2518210,2335489,0,1,2,100,5,1,3,30,1,1988,4,2,0,3,Assistance,-38.48207,145.20866,0.4617486132350339,0.8870108331782217
100,2520952,2335598,0,2,2,100,1,1,1,29,1,2004,1,3,0,1,Slight,-38.48102,145.24008,0.7933533402912354,-0.6087614290087203
101,2520952,2335598,0,2,2,100,1,1,1,29,1,2002,1,3,0,1,Slight,-38.48102,145.24008,0.7933533402912354,-0.6087614290087203
102,2520952,2335598,0,2,2,100,1,1,1,29,1,2004,1,3,1,1,Slight,-38.48102,145.24008,0.7933533402912354,-0.6087614290087203
103,2520952,2335598,0,2,2,100,1,1,1,29,1,2002,1,3,1,1,Slight,-38.48102,145.24008,0.7933533402912354,-0.6087614290087203
104,2520952,2335598,0,2,2,100,1,1,1,29,1,2004,1,2,1,2,Assistance,-38.48102,145.24008,0.7933533402912354,-0.6087614290087203
105,2520952,2335598,0,2,2,100,1,1,1,29,1,2002,1,2,1,2,Assistance,-38.48102,145.24008,0.7933533402912354,-0.6087614290087203
106,2520952,2335598,0,2,2,100,1,1,1,29,1,2004,1,2,0,3,Slight,-38.48102,145.24008,0.7933533402912354,-0.6087614290087203
107,2520952,2335598,0,2,2,100,1,1,1,29,1,2002,1,2,0,3,Slight,-38.48102,145.24008,0.7933533402912354,-0.6087614290087203
2999,2582446,2335623,1,2,1,50,2,1,4,43,1,2003,1,2,0,3,Assistance,-38.47736,145.94468,-0.953716950748227,0.3007057995042726
3000,2582446,2335623,1,2,1,50,2,1,4,43,1,2001,1,2,0,3,Assistance,-38.47736,145.94468,-0.953716950748227,0.3007057995042726
3001,2582446,2335623,1,2,1,50,2,1,4,43,1,2003,1,2,1,2,Assistance,-38.47736,145.94468,-0.953716950748227,0.3007057995042726
3002,2582446,2335623,1,2,1,50,2,1,4,43,1,2001,1,2,1,2,Assistance,-38.47736,145.94468,-0.953716950748227,0.3007057995042726
9795,2582596,2335747,2,2,1,50,1,1,3,44,7,1995,1,3,1,4,Slight,-38.47623,145.94639,-0.6755902076156598,-0.7372773368101244
9796,2582596,2335747,2,2,1,50,1,1,3,44,1,1991,1,3,1,4,Slight,-38.47623,145.94639,-0.6755902076156598,-0.7372773368101244
9797,2582596,2335747,2,2,1,50,1,1,3,44,7,1995,1,2,0,3,Slight,-38.47623,145.94639,-0.6755902076156598,-0.7372773368101244
9798,2582596,2335747,2,2,1,50,1,1,3,44,1,1991,1,2,0,3,Slight,-38.47623,145.94639,-0.6755902076156598,-0.7372773368101244
9799,2582596,2335747,2,2,1,50,1,1,3,44,7,1995,1,2,1,4,Assistance,-38.47623,145.94639,-0.6755902076156598,-0.7372773368101244
9800,2582596,2335747,2,2,1,50,1,1,3,44,1,1991,1,2,1,4,Assistance,-38.47623,145.94639,-0.6755902076156598,-0.7372773368101244
2549,2582737,2335838,1,1,2,60,3,2,7,40,1,1995,2,1,1,3,Assistance,-38.4754,145.94799,0.0,1.0
2550,2582737,2335838,1,1,2,60,3,2,7,40,1,1995,2,2,1,3,Slight,-38.4754,145.94799,0.0,1.0
3539,2499492,2336072,0,1,1,100,1,1,7,45,10,1998,8,4,0,3,Assistance,-38.477,144.99418,0.4617486132350339,-0.8870108331782217
332,2582830,2336202,1,2,2,60,3,1,1,30,1,1998,1,3,0,1,Assistance,-38.47211,145.94901,-0.9659258262890684,0.2588190451025203
333,2582830,2336202,1,2,2,60,3,1,1,30,1,1983,1,3,0,1,Assistance,-38.47211,145.94901,-0.9659258262890684,0.2588190451025203
334,2582830,2336202,1,2,2,60,3,1,1,30,1,1998,1,2,1,3,Assistance,-38.47211,145.94901,-0.9659258262890684,0.2588190451025203
335,2582830,2336202,1,2,2,60,3,1,1,30,1,1983,1,2,1,3,Assistance,-38.47211,145.94901,-0.9659258262890684,0.2588190451025203
5462,2328750,2336607,0,1,1,80,1,1,2,50,1,2002,6,3,0,3,Assistance,-38.45629,143.03825,-0.7071067811865475,-0.7071067811865477
5463,2328750,2336607,0,1,1,80,1,1,2,50,1,2002,6,3,0,1,Assistance,-38.45629,143.03825,-0.7071067811865475,-0.7071067811865477
5464,2328750,2336607,0,1,1,80,1,1,2,50,1,2002,6,3,1,1,Assistance,-38.45629,143.03825,-0.7071067811865475,-0.7071067811865477
5465,2328750,2336607,0,1,1,80,1,1,2,50,1,2002,6,2,1,3,Assistance,-38.45629,143.03825,-0.7071067811865475,-0.7071067811865477
3892,2577705,2337032,0,1,1,100,1,1,3,47,2,2004,4,3,0,1,Assistance,-38.46508,145.89021,0.3826834323650899,-0.9238795325112867
3893,2577705,2337032,0,1,1,100,1,1,3,47,2,2004,4,2,1,3,Assistance,-38.46508,145.89021,0.3826834323650899,-0.9238795325112867
5995,2300822,2337438,0,3,1,100,1,1,6,50,1,2001,1,2,0,2,Assistance,-38.4432,142.71867,0.7372773368101241,-0.6755902076156602
5996,2300822,2337438,0,3,1,100,1,1,6,50,1,2004,1,2,0,2,Assistance,-38.4432,142.71867,0.7372773368101241,-0.6755902076156602
5997,2300822,2337438,0,3,1,100,1,1,6,50,1,1999,1,2,0,2,Assistance,-38.4432,142.71867,0.7372773368101241,-0.6755902076156602
5998,2300822,2337438,0,3,1,100,1,1,6,50,1,2001,1,2,1,3,Assistance,-38.4432,142.71867,0.7372773368101241,-0.6755902076156602
5999,2300822,2337438,0,3,1,100,1,1,6,50,1,2004,1,2,1,3,Assistance,-38.4432,142.71867,0.7372773368101241,-0.6755902076156602
6000,2300822,2337438,0,3,1,100,1,1,6,50,1,1999,1,2,1,3,Assistance,-38.4432,142.71867,0.7372773368101241,-0.6755902076156602
6001,2300822,2337438,0,3,1,100,1,1,6,50,1,2001,1,2,1,2,Assistance,-38.4432,142.71867,0.7372773368101241,-0.6755902076156602
6002,2300822,2337438,0,3,1,100,1,1,6,50,1,2004,1,2,1,2,Assistance,-38.4432,142.71867,0.7372773368101241,-0.6755902076156602
6003,2300822,2337438,0,3,1,100,1,1,6,50,1,1999,1,2,1,2,Assistance,-38.4432,142.71867,0.7372773368101241,-0.6755902076156602
2066,2606305,2337608,0,1,2,100,2,1,4,40,4,1983,4,2,0,3,Assistance,-38.45704,146.21774,0.90630778703665,-0.42261826174069933
5254,2520862,2338206,4,1,1,60,2,1,5,47,4,2004,4,2,1,3,Assistance,-38.45754,145.23898,1.0,-1.6081226496766364e-16
