,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Assistance,Assistance,madrid_1D-convolution,train,madrid,1D-convolution,0.776,0.979,0.866,1039.0
Slight,Slight,madrid_1D-convolution,train,madrid,1D-convolution,0.876,0.345,0.495,449.0
accuracy,accuracy,madrid_1D-convolution,train,madrid,1D-convolution,0.788,0.788,0.788,0.788
macro avg,macro avg,madrid_1D-convolution,train,madrid,1D-convolution,0.826,0.662,0.68,1488.0
weighted avg,weighted avg,madrid_1D-convolution,train,madrid,1D-convolution,0.806,0.788,0.754,1488.0
Assistance,Assistance,madrid_2D-convolution,train,madrid,2D-convolution,0.951,0.938,0.945,1039.0
Slight,Slight,madrid_2D-convolution,train,madrid,2D-convolution,0.862,0.889,0.875,449.0
accuracy,accuracy,madrid_2D-convolution,train,madrid,2D-convolution,0.923,0.923,0.923,0.923
macro avg,macro avg,madrid_2D-convolution,train,madrid,2D-convolution,0.906,0.914,0.91,1488.0
weighted avg,weighted avg,madrid_2D-convolution,train,madrid,2D-convolution,0.924,0.923,0.924,1488.0
Assistance,Assistance,madrid_KNN,train,madrid,KNN,0.762,0.976,0.856,1039.0
Slight,Slight,madrid_KNN,train,madrid,KNN,0.842,0.296,0.438,449.0
accuracy,accuracy,madrid_KNN,train,madrid,KNN,0.771,0.771,0.771,0.771
macro avg,macro avg,madrid_KNN,train,madrid,KNN,0.802,0.636,0.647,1488.0
weighted avg,weighted avg,madrid_KNN,train,madrid,KNN,0.786,0.771,0.73,1488.0
Assistance,Assistance,madrid_NB,train,madrid,NB,0.781,0.898,0.836,1039.0
Slight,Slight,madrid_NB,train,madrid,NB,0.639,0.419,0.506,449.0
accuracy,accuracy,madrid_NB,train,madrid,NB,0.753,0.753,0.753,0.753
macro avg,macro avg,madrid_NB,train,madrid,NB,0.71,0.658,0.671,1488.0
weighted avg,weighted avg,madrid_NB,train,madrid,NB,0.739,0.753,0.736,1488.0
Assistance,Assistance,madrid_SVC,train,madrid,SVC,0.803,0.964,0.876,1039.0
Slight,Slight,madrid_SVC,train,madrid,SVC,0.846,0.452,0.589,449.0
accuracy,accuracy,madrid_SVC,train,madrid,SVC,0.81,0.81,0.81,0.81
macro avg,macro avg,madrid_SVC,train,madrid,SVC,0.824,0.708,0.733,1488.0
weighted avg,weighted avg,madrid_SVC,train,madrid,SVC,0.816,0.81,0.79,1488.0
