,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Slight,Slight,UK_1D-convolution,train,UK,1D-convolution,0.792,0.578,0.668,32071.0
Serious,Serious,UK_1D-convolution,train,UK,1D-convolution,0.558,0.701,0.622,32070.0
Fatal,Fatal,UK_1D-convolution,train,UK,1D-convolution,0.813,0.824,0.818,32070.0
accuracy,accuracy,UK_1D-convolution,train,UK,1D-convolution,0.701,0.701,0.701,0.701
macro avg,macro avg,UK_1D-convolution,train,UK,1D-convolution,0.721,0.701,0.703,96211.0
weighted avg,weighted avg,UK_1D-convolution,train,UK,1D-convolution,0.721,0.701,0.703,96211.0
Slight,Slight,UK_2D-convolution,train,UK,2D-convolution,0.68,0.303,0.419,32071.0
Serious,Serious,UK_2D-convolution,train,UK,2D-convolution,0.407,0.815,0.543,32070.0
Fatal,Fatal,UK_2D-convolution,train,UK,2D-convolution,0.886,0.491,0.632,32070.0
accuracy,accuracy,UK_2D-convolution,train,UK,2D-convolution,0.536,0.536,0.536,0.536
macro avg,macro avg,UK_2D-convolution,train,UK,2D-convolution,0.658,0.536,0.531,96211.0
weighted avg,weighted avg,UK_2D-convolution,train,UK,2D-convolution,0.658,0.536,0.531,96211.0
Slight,Slight,UK_KNN,train,UK,KNN,0.819,0.712,0.762,32071.0
Serious,Serious,UK_KNN,train,UK,KNN,0.744,0.746,0.745,32070.0
Fatal,Fatal,UK_KNN,train,UK,KNN,0.877,0.989,0.93,32070.0
accuracy,accuracy,UK_KNN,train,UK,KNN,0.816,0.816,0.816,0.816
macro avg,macro avg,UK_KNN,train,UK,KNN,0.813,0.816,0.812,96211.0
weighted avg,weighted avg,UK_KNN,train,UK,KNN,0.813,0.816,0.812,96211.0
Slight,Slight,UK_NB,train,UK,NB,0.62,0.696,0.656,32071.0
Serious,Serious,UK_NB,train,UK,NB,0.466,0.543,0.502,32070.0
Fatal,Fatal,UK_NB,train,UK,NB,0.676,0.48,0.562,32070.0
accuracy,accuracy,UK_NB,train,UK,NB,0.573,0.573,0.573,0.573
macro avg,macro avg,UK_NB,train,UK,NB,0.587,0.573,0.573,96211.0
weighted avg,weighted avg,UK_NB,train,UK,NB,0.587,0.573,0.573,96211.0
Slight,Slight,UK_SVC,train,UK,SVC,0.844,0.743,0.791,32071.0
Serious,Serious,UK_SVC,train,UK,SVC,0.754,0.808,0.78,32070.0
Fatal,Fatal,UK_SVC,train,UK,SVC,0.927,0.972,0.949,32070.0
accuracy,accuracy,UK_SVC,train,UK,SVC,0.841,0.841,0.841,0.841
macro avg,macro avg,UK_SVC,train,UK,SVC,0.842,0.841,0.84,96211.0
weighted avg,weighted avg,UK_SVC,train,UK,SVC,0.842,0.841,0.84,96211.0
