,accident_type,c_m,split,city,model,precision,recall,f1-score,support
Slight,Slight,UK_1D-convolution,train,UK,1D-convolution,0.5,0.0,0.0,32090.0
Serious,Serious,UK_1D-convolution,train,UK,1D-convolution,0.448,0.601,0.513,32090.0
Fatal,Fatal,UK_1D-convolution,train,UK,1D-convolution,0.594,0.985,0.741,32090.0
accuracy,accuracy,UK_1D-convolution,train,UK,1D-convolution,0.529,0.529,0.529,0.529
macro avg,macro avg,UK_1D-convolution,train,UK,1D-convolution,0.514,0.529,0.418,96270.0
weighted avg,weighted avg,UK_1D-convolution,train,UK,1D-convolution,0.514,0.529,0.418,96270.0
Slight,Slight,UK_2D-convolution,train,UK,2D-convolution,0.84,0.47,0.602,32090.0
Serious,Serious,UK_2D-convolution,train,UK,2D-convolution,0.563,0.892,0.69,32090.0
Fatal,Fatal,UK_2D-convolution,train,UK,2D-convolution,0.952,0.816,0.879,32090.0
accuracy,accuracy,UK_2D-convolution,train,UK,2D-convolution,0.726,0.726,0.726,0.726
macro avg,macro avg,UK_2D-convolution,train,UK,2D-convolution,0.785,0.726,0.724,96270.0
weighted avg,weighted avg,UK_2D-convolution,train,UK,2D-convolution,0.785,0.726,0.724,96270.0
Slight,Slight,UK_KNN,train,UK,KNN,0.82,0.705,0.758,32090.0
Serious,Serious,UK_KNN,train,UK,KNN,0.741,0.75,0.746,32090.0
Fatal,Fatal,UK_KNN,train,UK,KNN,0.874,0.986,0.927,32090.0
accuracy,accuracy,UK_KNN,train,UK,KNN,0.814,0.814,0.814,0.814
macro avg,macro avg,UK_KNN,train,UK,KNN,0.812,0.814,0.81,96270.0
weighted avg,weighted avg,UK_KNN,train,UK,KNN,0.812,0.814,0.81,96270.0
Slight,Slight,UK_NB,train,UK,NB,0.619,0.678,0.647,32090.0
Serious,Serious,UK_NB,train,UK,NB,0.538,0.569,0.553,32090.0
Fatal,Fatal,UK_NB,train,UK,NB,0.718,0.61,0.66,32090.0
accuracy,accuracy,UK_NB,train,UK,NB,0.619,0.619,0.619,0.619
macro avg,macro avg,UK_NB,train,UK,NB,0.625,0.619,0.62,96270.0
weighted avg,weighted avg,UK_NB,train,UK,NB,0.625,0.619,0.62,96270.0
Slight,Slight,UK_SVC,train,UK,SVC,0.84,0.748,0.792,32090.0
Serious,Serious,UK_SVC,train,UK,SVC,0.757,0.804,0.78,32090.0
Fatal,Fatal,UK_SVC,train,UK,SVC,0.923,0.967,0.944,32090.0
accuracy,accuracy,UK_SVC,train,UK,SVC,0.84,0.84,0.84,0.84
macro avg,macro avg,UK_SVC,train,UK,SVC,0.84,0.84,0.839,96270.0
weighted avg,weighted avg,UK_SVC,train,UK,SVC,0.84,0.84,0.839,96270.0
